name,duration,number of scenes,number of shots,avg. scene duration,std. scene duration,avg. shot duration,std. shot duration,scenes/min,shots/min,shots/scenes
Signs,106.30342222222222,81,593,81.70513580246904,68.85761740111627,10.777067453625634,22.769967293533163,0.761969824740669,5.578371679891564,7.320987654320987
One Flew Over the Cuckoo's Nest,130.91550555555554,215,1556,35.633314728682045,23.21985114668207,5.155723650385604,6.555023284112004,1.642280638092653,11.88552871103334,7.2372093023255815
The Ugly Truth,91.51225555555556,122,1118,44.66385792349724,26.322585752391763,5.150046511627908,9.726579741804747,1.333154769919706,12.216942891559272,9.163934426229508
Marley & Me,110.95268888888889,90,1615,60.153322222222144,31.714333839411747,4.293511455108359,5.4150628049116944,0.8111565470047194,14.555753593473575,17.944444444444443
Match Point,121.95942222222222,145,522,48.81087126436773,27.873624638411147,14.319758620689653,18.86458138295139,1.1889200305966976,4.280112110148111,3.6
Bad Santa,83.84903888888888,106,1379,42.87385220125788,27.968822998296186,3.8520775924583033,8.563706478012323,1.2641766847257974,16.446223096574286,13.00943396226415
The Lincoln Lawyer,113.08588888888887,166,1524,34.28252610441757,18.669427245464277,4.663757874015748,9.20333301992419,1.467910820978745,13.476482476937393,9.180722891566266
Gone Girl,144.15650555555558,191,2679,43.374961605584566,25.17713179384091,3.337803284807764,6.2906261348806325,1.3249488759727994,18.58396878916822,14.026178010471204
Harry Potter and the Sorcerer's Stone,143.82840555555555,180,2538,47.27596111111102,22.33187440509155,3.601887706855792,10.496183476619521,1.2514913121975249,17.646027501985103,14.1
Crash,112.46110555555555,97,1415,64.25675601374564,41.93220661059599,4.768698233215548,10.128369031221736,0.8625204200227448,12.582127776620451,14.587628865979381
Up in the Air,103.11133888888888,164,1650,34.56482113821132,27.842075083096418,3.976143636363636,8.755373114073494,1.5905137278522177,16.00211982290341,10.060975609756097
Slumdog Millionaire,108.03863888888888,99,2480,62.38904040404034,37.911066086609615,2.787483870967742,5.188453383023152,0.9163388304235806,22.954750499499795,25.050505050505052
The Adjustment Bureau,98.90775555555554,153,1422,37.207673202614345,31.248689663752,4.46575035161744,11.507882340294843,1.546895884358243,14.37703233697661,9.294117647058824
27 Dresses,103.64660555555555,284,1631,22.985481220657228,13.643659478197277,4.076497240956468,8.050390896280552,2.7400800873095004,15.736164163386603,5.742957746478873
The Social Network,115.58920555555555,172,2251,39.47457751937976,30.975216520419792,3.214286983562861,6.871022953184883,1.4880282217817629,19.47413678622528,13.087209302325581
Ocean's Eleven,111.56353888888889,179,1194,36.11947858472989,21.561610006145518,5.857819932998325,10.755161466761823,1.6044668516501086,10.70242134564374,6.670391061452514
10 Things I Hate About You,92.36935555555556,120,864,44.53829166666665,30.735838992506146,6.778280092592593,9.839435769602886,1.2991321556620148,9.353751520766506,7.2
The Day the Earth Stood Still,103.59723888888888,94,1428,61.089439716312,63.99604098301174,4.352854341736695,9.324566364295176,0.9073600899809482,13.784151154178659,15.191489361702128
Her,125.83890555555556,93,937,73.92831182795693,76.54373563068769,8.058032017075774,19.86587721154662,0.7390401210930925,7.446027886712125,10.075268817204302
Indiana Jones and the Last Crusade,120.37442222222221,195,1589,35.2254153846153,28.159667440734335,4.788006293266205,11.153311640889559,1.6199454701432514,13.200478728500649,8.148717948717948
Friends with Benefits,109.42250555555555,122,2163,53.24244808743162,46.56210855743863,3.0353176144244105,7.996043357749504,1.1149443104102443,19.767414290306217,17.729508196721312
Pretty Woman,116.09932222222223,148,1145,43.759130630630544,26.294164418601056,6.268161572052402,9.497410688136771,1.274770577184918,9.862245343761696,7.736486486486487
Flight,131.89912222222222,115,1118,59.553420289854955,42.26013211229888,7.437700357781753,14.560564813600918,0.8718784330213301,8.476174679285625,9.721739130434782
The Godfather,167.98397222222223,190,1209,48.73054385964918,42.86428446249851,8.336708023159636,12.318545887632894,1.1310602879937453,7.197115200970727,6.363157894736842
The Girl with the Dragon Tattoo,158.14062222222222,168,3035,43.02441071428562,41.529940495353245,3.126352224052718,6.540404255109498,1.062345636682289,19.19177980554016,18.06547619047619
Pulp Fiction,149.80590555555557,112,1200,72.73156547619045,50.739524452094294,7.72268,16.12281681699158,0.7476340774727653,8.010365115779628,10.714285714285714
The Lost Weekend,100.74925555555555,114,452,51.5720263157894,31.003702787951575,13.373887168141593,15.79905481820902,1.131522008489062,4.486385507342597,3.9649122807017543
Brokeback Mountain,134.3571388888889,188,1139,40.77171099290771,44.223167277986015,7.082799824407374,13.371129965336555,1.3992557563723715,8.477405885681549,6.058510638297872
Meet the Parents,103.83220555555555,135,1767,42.25120740740735,30.085523139858406,3.6558641765704585,6.298234725392645,1.300174635390636,17.017841338779657,13.088888888888889
Silver Linings Playbook*,116.14728888888888,160,1664,42.70573333333324,25.296042315251587,4.402234375,9.479949024333555,1.3775612115497795,14.326636600117705,10.4
"Crazy, Stupid, Love",112.34208888888888,109,1830,61.79839755351675,50.74635665112172,3.8721743169398906,8.72181684039986,0.9702507855965332,16.28953153799684,16.788990825688074
Four Weddings and a Funeral,113.44248888888889,144,1079,44.93265277777771,38.0306588132911,6.553349397590361,9.285075586756744,1.2693656619350147,9.511427425193617,7.493055555555555
The Firm,150.8951888888889,218,2315,36.23825535168191,25.3062903946784,4.006161987041036,5.632097786258341,1.4447114026976928,15.341774758005316,10.619266055045872
Jerry Maguire *,133.61960555555555,201,2074,37.35163184079593,24.975899992956315,4.008343780135005,7.622149892867304,1.5042702690544123,15.521674318501747,10.318407960199005
Sleepless in Seattle,101.3103388888889,93,721,59.37658064516125,38.40134091875168,8.744990291262136,14.534983444034346,0.9179714629322958,7.116746502948229,7.752688172043011
Knocked Up,132.9522722222222,196,1937,41.719853741496486,37.72341443949729,4.118315952503872,6.4191291546515545,1.4742132400144097,14.56913798932608,9.88265306122449
Forrest Gump,134.33142222222222,141,1023,56.32848936170204,36.32365594810971,8.337589442815249,16.730843836095236,1.0496427244457076,7.615492958212474,7.25531914893617
The Help,146.14182222222223,150,1590,55.66511333333319,57.99489206230383,5.518852201257862,13.536063370770917,1.0264002304002413,10.879842442242557,10.6
Australia,165.48283888888892,249,3213,36.412634538152595,47.49804908597346,3.0902620603797075,9.33691295049784,1.5046877469100435,19.415910565550078,12.903614457831326
The Big Lebowski,112.61805555555556,95,1062,66.7829754385964,43.025975723341794,6.624948210922787,13.534713694115844,0.8435592279706481,9.430104211629772,11.178947368421053
Horrible Bosses,91.28563888888888,155,1706,34.91797849462361,24.872266106790395,3.4370990621336457,6.324255839354162,1.6979669736294776,18.688591335560574,11.006451612903225
Dallas Buyers Club,111.46960555555555,189,1254,33.76235978835971,21.729553159766304,5.595664274322169,10.60055823014981,1.6955294589770835,11.249703394482871,6.634920634920635
Juno,92.30277222222222,103,1106,47.091692556634264,26.909866576808565,5.212115732368897,9.627384317400269,1.115892811453418,11.98230533463573,10.737864077669903
As Good as It Gets,133.25257222222223,185,1758,41.77216036036026,31.732744938164704,4.731689419795222,8.831701764824924,1.3883409296706093,13.19299110465368,9.502702702702702
Chasing Amy,109.96332222222222,64,932,101.75600520833328,72.6591366521303,7.2791330472103,12.872856025394626,0.5820122446888604,8.47555331328153,14.5625
