,s_dur,n_shots,ava_shot_dur,rel_id_loc,rel_t_loc,ava_char_score,is_prot_appear
0,108.52533333333335,1,108.52533333333335,0.0,0.02071880238526857,1622.8330196794864,1
1,41.416333333333284,3,13.805444444444428,0.006172839506172839,0.03344743341641114,1295.689785057446,1
3,44.37833333333333,6,7.396388888888889,0.018518518518518517,0.042107526548903935,1856.6135920759916,1
5,85.87733333333335,13,6.60594871794872,0.030864197530864196,0.05328609880654502,1265.87024503582,1
6,40.457333333333395,3,13.485777777777798,0.037037037037037035,0.06335942909627154,1265.87024503582,1
8,59.89333333333332,7,8.556190476190475,0.04938271604938271,0.07499759067333822,1856.6135920759916,1
9,34.36733333333336,7,4.909619047619052,0.05555555555555555,0.08202450033144362,1245.430745898257,1
12,24.77433333333329,7,3.53919047619047,0.07407407407407407,0.08835698459695776,1564.3550775271935,1
13,34.74333333333345,9,3.8603703703703838,0.08024691358024691,0.09126646637013776,1048.9599516679402,1
15,58.641333333333364,10,5.864133333333337,0.09259259259259259,0.09687533194190323,2179.60018169798,1
16,40.374333333333425,6,6.729055555555571,0.09876543209876543,0.10375545439900842,2179.60018169798,1
18,62.31233333333341,25,2.4924933333333366,0.1111111111111111,0.11017118060758177,2179.60018169798,1
19,21.22933333333333,7,3.0327619047619043,0.11728395061728394,0.11748169908295518,3100.249414604749,1
21,36.995333333333065,5,7.399066666666613,0.12962962962962962,0.12134963562304955,3100.249414604749,1
22,62.60433333333344,8,7.82554166666668,0.13580246913580246,0.12569193399640816,1467.0313926673587,1
23,38.5803333333331,3,12.860111111111033,0.1419753086419753,0.13303668718639186,1109.1688539350773,1
24,21.354333333333216,2,10.677166666666608,0.14814814814814814,0.13756481440446722,2179.60018169798,1
25,51.67733333333331,24,2.153222222222221,0.15432098765432098,0.14007332794488306,2179.60018169798,1
27,49.007333333333236,11,4.455212121212113,0.16666666666666666,0.14613697590696786,1568.3454878020573,1
28,59.85133333333329,15,3.9900888888888857,0.1728395061728395,0.15188758726628065,1568.3454878020573,1
29,84.2503333333334,11,7.659121212121218,0.17901234567901234,0.15890957275310652,3100.249414604749,1
30,27.319333333333134,8,3.4149166666666417,0.18518518518518517,0.16879215002683676,3100.249414604749,1
31,11.511333333333369,4,2.877833333333342,0.19135802469135801,0.17200001313112342,0.0,0
34,99.51633333333325,11,9.046939393939386,0.20987654320987653,0.17752563675982966,1475.235373865251,1
35,204.03733333333344,10,20.403733333333342,0.21604938271604937,0.1824450011102834,2179.60018169798,1
36,20.729333333333216,6,3.454888888888869,0.2222222222222222,0.20637166659983866,3100.249414604749,1
37,45.0033333333331,5,9.000666666666621,0.22839506172839505,0.2088069037819277,1563.0267015741777,1
38,31.948333333333267,5,6.3896666666666535,0.2345679012345679,0.21408807747925576,1563.0267015741777,1
41,28.15333333333342,4,7.038333333333355,0.25308641975308643,0.219677246365903,942.4610477059139,1
42,21.521333333333132,2,10.760666666666566,0.25925925925925924,0.22298288944274094,1043.0829729477462,1
43,80.53933333333339,8,10.067416666666674,0.2654320987654321,0.22551098242610168,982.0888002471636,1
44,38.8303333333331,1,38.8303333333331,0.2716049382716049,0.2349584739946308,1573.7338505665978,1
45,51.17633333333356,1,51.17633333333356,0.2777777777777778,0.23951591175603687,1245.060682080768,1
46,27.36033333333353,2,13.680166666666764,0.2839506172839506,0.24552082138928694,1843.9818798569286,1
47,45.83733333333339,5,9.167466666666678,0.29012345679012347,0.24873349142267986,1254.54352869035,1
48,80.95633333333353,7,11.565190476190505,0.2962962962962963,0.2541124450925592,2179.60018169798,1
49,36.953333333333376,10,3.6953333333333376,0.30246913580246915,0.26360882664736396,2179.60018169798,1
50,63.1883333333335,7,9.026904761904786,0.30864197530864196,0.267946200849443,2179.60018169798,1
51,65.35733333333337,15,4.357155555555559,0.3148148148148148,0.2753594234686472,2179.60018169798,1
52,26.10933333333378,3,8.70311111111126,0.32098765432098764,0.2830269443617887,1856.6135920759916,1
53,69.94433333333336,3,23.31477777777779,0.3271604938271605,0.28609294443635475,1843.9818798569286,1
54,92.55133333333333,7,13.221619047619047,0.3333333333333333,0.2942982551785282,1491.1090476433374,1
