,s_dur,n_shots,ava_shot_dur,rel_id_loc,rel_t_loc,ava_char_score,is_prot_appear
2,30.321333333333342,8,3.790166666666668,0.028169014084507043,0.02622700670621767,2170.792895314321,1
3,79.4133333333333,17,4.671372549019606,0.04225352112676056,0.030702584493979498,1825.9799639936552,1
4,41.875333333333344,3,13.958444444444448,0.056338028169014086,0.04241443882743193,2408.1178871326865,1
5,57.89133333333331,9,6.432370370370368,0.07042253521126761,0.04859310345640841,3043.6277937366967,1
6,130.67133333333334,33,3.959737373737374,0.08450704225352113,0.05713256424679164,2765.0602988632468,1
7,56.47333333333336,2,28.23666666666668,0.09859154929577464,0.07639996863277827,2765.0602988632468,1
8,72.3223333333334,16,4.520145833333338,0.11267605633802817,0.08473041287990009,3043.6277937366967,1
9,88.3803333333334,11,8.034575757575764,0.1267605633802817,0.09539703709468773,3043.6277937366967,1
10,66.73333333333335,1,66.73333333333335,0.14084507042253522,0.1084306483699068,3665.3996884052103,1
11,155.73933333333343,6,25.95655555555557,0.15492957746478872,0.1182734408073404,3043.6277937366967,1
13,38.5383333333333,9,4.282037037037033,0.18309859154929578,0.14217650194158385,3558.434393429292,1
14,45.46233333333339,11,4.132939393939399,0.19718309859154928,0.14786328490281467,3092.157458264515,1
15,72.32233333333306,10,7.232233333333307,0.2112676056338028,0.15457068178896935,3043.6277937366967,1
16,48.2983333333334,6,8.049722222222234,0.22535211267605634,0.16523730600375697,3043.6277937366967,1
17,113.48833333333323,3,37.82944444444441,0.23943661971830985,0.1723627359764345,3043.6277937366967,1
18,92.09233333333327,13,7.084025641025637,0.2535211267605634,0.18909732564954324,2459.4951767824796,1
19,134.05033333333313,17,7.885313725490184,0.2676056338028169,0.20267809447665677,2822.8879652361356,1
20,72.44733333333329,20,3.6223666666666645,0.28169014084507044,0.2224435714294137,2822.8879652361356,1
21,47.17233333333343,12,3.9310277777777856,0.29577464788732394,0.23312862093891762,2822.8879652361356,1
22,81.62333333333322,20,4.081166666666661,0.30985915492957744,0.24008807585679096,3665.3996884052103,1
23,93.76033333333316,12,7.813361111111097,0.323943661971831,0.25212568940082714,2822.8879652361356,1
24,123.0813333333333,22,5.5946060606060595,0.3380281690140845,0.2659523253606346,3665.3996884052103,1
25,41.4993333333332,8,5.18741666666665,0.352112676056338,0.28410094585144907,2822.8879652361356,1
27,39.331333333333305,5,7.866266666666661,0.38028169014084506,0.2914045852746224,3558.434393429292,1
28,29.86333333333323,7,4.266190476190461,0.39436619718309857,0.29720825830553327,1794.2242017244573,1
31,217.4673333333335,37,5.8774954954955,0.43661971830985913,0.31065371176825046,4049.0801325311945,1
33,50.42533333333358,3,16.80844444444453,0.4647887323943662,0.34416593260292516,2395.021138917909,1
34,54.93033333333369,9,6.10337037037041,0.4788732394366197,0.3516048873904948,4049.0801325311945,1
35,34.40933333333351,2,17.204666666666753,0.49295774647887325,0.3597078897996389,2766.0984237776934,1
