,s_dur,n_shots,ava_shot_dur,rel_id_loc,rel_t_loc,ava_char_score,is_prot_appear
1,32.240333333333325,11,2.930939393939393,0.008333333333333333,0.007404505985776508,2569.4103559717687,1
2,75.15933333333334,16,4.6974583333333335,0.016666666666666666,0.012060101923544795,2339.158051823433,1
4,24.775333333333293,7,3.5393333333333277,0.03333333333333333,0.03456839833626117,2339.158051823433,1
6,78.45333333333332,23,3.4110144927536226,0.05,0.0390856906836596,1276.551573579616,1
7,36.28633333333329,10,3.6286333333333287,0.058333333333333334,0.0504059621394282,2339.158051823433,1
9,95.01233333333334,8,11.876541666666668,0.075,0.05847819036025417,2339.158051823433,1
10,112.19533333333334,24,4.674805555555555,0.08333333333333333,0.07218654226746646,1405.0160766339716,1
11,110.81933333333336,24,4.617472222222223,0.09166666666666666,0.08837296570056537,2339.158051823433,1
12,35.28533333333337,7,5.04076190476191,0.1,0.10436094727720034,2339.158051823433,1
13,57.97433333333345,21,2.760682539682545,0.10833333333333334,0.10945568235227439,2887.906517849827,1
14,38.37233333333336,9,4.2635925925925955,0.11666666666666667,0.11782254481202178,1450.3834935575737,1
16,78.03633333333323,11,7.094212121212112,0.13333333333333333,0.14256244681116484,2339.158051823433,1
17,34.20133333333342,11,3.1092121212121295,0.14166666666666666,0.15382258000083934,1714.0777930887186,1
18,38.9553333333331,15,2.597022222222207,0.15,0.15876098442736186,1714.0777930887186,1
19,74.40733333333333,27,2.7558271604938267,0.15833333333333333,0.16438499393065004,1714.0777930887186,1
20,34.86833333333334,14,2.4905952380952385,0.16666666666666666,0.175121765567194,2339.158051823433,1
21,94.17833333333328,17,5.539901960784311,0.175,0.18015636237617397,1832.6823580754967,1
22,26.025333333333037,2,13.012666666666519,0.18333333333333332,0.19374443775119807,2339.158051823433,1
24,119.74433333333332,44,2.7214621212121206,0.2,0.19856847852061596,1774.4935042101224,1
26,15.807333333333418,4,3.9518333333333544,0.21666666666666667,0.22415046046154172,1615.6866075822597,1
27,25.191333333333205,5,5.038266666666641,0.225,0.22643614722251348,2309.743432580192,1
29,72.28133333333335,34,2.1259215686274513,0.24166666666666667,0.230652604022976,2309.743432580192,1
30,82.4993333333332,24,3.4374722222222167,0.25,0.2410827714539659,1644.7028262056187,1
32,121.4963333333335,20,6.074816666666675,0.26666666666666666,0.27921201853873817,2309.743432580192,1
33,25.025333333333492,4,6.256333333333373,0.275,0.29673979931701966,2309.743432580192,1
34,34.28433333333351,11,3.1167575757575916,0.2833333333333333,0.3003548734565413,1644.7028262056187,1
35,72.69833333333372,13,5.592179487179517,0.2916666666666667,0.3053052478496964,1867.3698415170466,1
