,s_dur,n_shots,ava_shot_dur,rel_id_loc,rel_t_loc,ava_char_score,is_prot_appear
0,218.71833333333333,6,36.45305555555556,0.0,0.0,1295.5790777990778,1
1,21.980333333333363,3,7.326777777777788,0.008403361344537815,0.03618860356754519,1295.5790777990778,1
2,41.79233333333329,1,41.79233333333329,0.01680672268907563,0.03983161612818005,1256.344446539072,1
3,30.905333333333317,1,30.905333333333317,0.025210084033613446,0.04675204967016526,1256.344446539072,1
4,53.470333333333315,4,13.367583333333329,0.03361344537815126,0.05187148976252593,1256.344446539072,1
5,46.63033333333334,5,9.326066666666668,0.04201680672268908,0.06072376876282982,1256.344446539072,1
6,24.81633333333332,6,4.136055555555553,0.05042016806722689,0.06844453355394552,1256.344446539072,1
7,25.442333333333295,5,5.088466666666659,0.058823529411764705,0.07255669440365313,1256.344446539072,1
8,80.74733333333342,3,26.915777777777805,0.06722689075630252,0.07677241196314903,1256.344446539072,1
9,23.273333333333312,2,11.636666666666656,0.07563025210084033,0.09013701743772577,1256.344446539072,1
11,19.894333333333407,4,4.973583333333352,0.09243697478991597,0.10181808196100015,947.5971772238329,1
12,33.57533333333333,2,16.787666666666667,0.10084033613445378,0.1051160157730434,947.5971772238329,1
13,15.140333333333388,2,7.570166666666694,0.1092436974789916,0.110677143429517,947.5971772238329,1
14,44.62833333333333,1,44.62833333333333,0.11764705882352941,0.11318864178096366,1872.1443697238763,1
15,42.83433333333335,2,21.417166666666674,0.12605042016806722,0.12057822361202164,1011.3168161836812,1
16,27.73633333333339,2,13.868166666666696,0.13445378151260504,0.12767103110224867,1133.8405264630983,1
17,44.33533333333344,4,11.08383333333336,0.14285714285714285,0.13226623602956294,1133.8405264630983,1
18,19.686333333333323,1,19.686333333333323,0.15126050420168066,0.1396073480268063,1133.8405264630983,1
19,10.302333333333422,1,10.302333333333422,0.15966386554621848,0.14287087321962277,809.3507817681626,1
20,34.95133333333331,3,11.650444444444437,0.16806722689075632,0.14458204032193894,1133.8405264630983,1
21,39.70633333333342,4,9.926583333333355,0.17647058823529413,0.150370794228682,1133.8405264630983,1
22,58.60033333333331,6,9.766722222222219,0.18487394957983194,0.1569461490220756,1016.2578310510838,1
23,69.65333333333331,6,11.608888888888885,0.19327731092436976,0.16664706367927062,1133.8405264630983,1
24,95.2203333333332,8,11.90254166666665,0.20168067226890757,0.17817643251105003,1256.344446539072,1
25,25.650333333333265,2,12.825166666666632,0.21008403361344538,0.19393524926480524,1133.8405264630983,1
26,35.95233333333317,4,8.988083333333293,0.2184873949579832,0.1981853754435279,1256.344446539072,1
27,18.01833333333343,1,18.01833333333343,0.226890756302521,0.2041397208302998,948.44448494667,0
28,37.204333333333125,3,12.401444444444374,0.23529411764705882,0.2071273153650862,1525.0097768714681,1
30,33.82533333333322,3,11.275111111111073,0.25210084033613445,0.22612897905491103,1872.1443697238763,1
31,53.51233333333312,1,53.51233333333312,0.2605042016806723,0.23173146322487836,1133.8405264630983,1
32,10.426333333333332,2,5.213166666666666,0.2689075630252101,0.24059069011944917,1133.8405264630983,1
33,92.42633333333333,8,11.553291666666667,0.2773109243697479,0.24232237005245824,1133.8405264630983,1
34,12.929333333333261,2,6.464666666666631,0.2857142857142857,0.2576189864114076,1133.8405264630983,1
35,31.114333333333207,2,15.557166666666603,0.29411764705882354,0.25976472775751586,809.3507817681626,1
36,21.938333333333276,1,21.938333333333276,0.3025210084033613,0.26491874189515724,1016.2578310510838,1
37,56.515333333333274,6,9.419222222222212,0.31092436974789917,0.26855480656152514,809.3507817681626,1
38,39.99833333333322,4,9.999583333333305,0.31932773109243695,0.27791080789618255,809.3507817681626,1
39,108.23333333333335,1,108.23333333333335,0.3277310924369748,0.2845344670973368,1133.8405264630983,1
40,138.93033333333324,19,7.312122807017539,0.33613445378151263,0.3024459730914672,1872.1443697238763,1
41,38.622333333333245,2,19.311166666666622,0.3445378151260504,0.3254355626644645,950.301825861544,1
42,46.21233333333362,3,15.404111111111206,0.35294117647058826,0.33183159561534936,950.301825861544,1
43,30.030333333333147,1,30.030333333333147,0.36134453781512604,0.33948321231590356,1872.1443697238763,1
44,72.73933333333343,2,36.36966666666672,0.3697478991596639,0.34445790461103615,1525.0097768714681,1
45,66.81633333333366,6,11.13605555555561,0.37815126050420167,0.35649777824538204,1525.0097768714681,1
46,39.915333333333365,2,19.957666666666682,0.3865546218487395,0.36755783336203474,1525.0097768714681,1
47,28.361333333333732,4,7.090333333333433,0.3949579831932773,0.3741677622007091,1525.0097768714681,1
48,73.03133333333335,1,73.03133333333335,0.40336134453781514,0.3788663584117577,1148.5187456484189,1
49,26.026333333333696,1,26.026333333333696,0.4117647058823529,0.39095453645386424,1133.8405264630983,1
50,73.40633333333335,7,10.48661904761905,0.42016806722689076,0.39526686282888146,656.799934182701,1
51,22.147333333333336,1,22.147333333333336,0.42857142857142855,0.4074170756412286,1525.0097768714681,1
52,137.09533333333366,5,27.41906666666673,0.4369747899159664,0.4110877143528772,1525.0097768714681,1
54,30.864333333333434,1,30.864333333333434,0.453781512605042,0.43377374711683064,1256.344446539072,1
55,41.04133333333357,3,13.680444444444523,0.46218487394957986,0.43888640474097834,1256.344446539072,1
56,18.89333333333343,5,3.778666666666686,0.47058823529411764,0.44568260331642845,948.44448494667,0
57,58.6843333333336,5,11.73686666666672,0.4789915966386555,0.4488149456484428,1256.344446539072,1
58,56.014333333333525,3,18.671444444444507,0.48739495798319327,0.45852975609417174,1256.344446539072,1
59,50.9673333333335,2,25.48366666666675,0.4957983193277311,0.46780287897578776,1256.344446539072,1
60,122.41433333333316,9,13.601592592592574,0.5042016806722689,0.4762410965629925,1256.344446539072,1
61,24.315333333333456,2,12.157666666666728,0.5126050420168067,0.4964985094285406,1256.344446539072,1
62,56.47333333333381,4,14.118333333333453,0.5210084033613446,0.5005277918252068,1256.344446539072,1
63,40.20733333333328,5,8.041466666666656,0.5294117647058824,0.5098768452655973,1256.344446539072,1
64,60.76833333333343,4,15.192083333333358,0.5378151260504201,0.5165350785120323,1133.8405264630983,1
67,91.75833333333367,5,18.351666666666734,0.5630252100840336,0.5376341791402046,1872.1443697238763,1
68,55.471333333333405,4,13.867833333333351,0.5714285714285714,0.5528202908950989,1872.1443697238763,1
69,60.68633333333355,6,10.114388888888925,0.5798319327731093,0.5620035874294065,1872.1443697238763,1
70,65.81533333333346,3,21.938444444444485,0.5882352941176471,0.5720495808351931,1872.1443697238763,1
71,65.48233333333337,5,13.096466666666675,0.5966386554621849,0.5829440444718169,1872.1443697238763,1
74,43.71033333333344,2,21.85516666666672,0.6218487394957983,0.6195053529389675,1872.1443697238763,1
77,81.8733333333339,3,27.291111111111302,0.6470588235294118,0.6517197609858201,1872.1443697238763,1
78,61.10233333333326,2,30.55116666666663,0.6554621848739496,0.6652706361971726,1133.8405264630983,1
79,69.2783333333332,5,13.85566666666664,0.6638655462184874,0.6753854468414128,1133.8405264630983,1
81,52.96933333333254,3,17.65644444444418,0.680672268907563,0.6915100206005065,1016.2578310510838,1
82,43.8773333333329,3,14.625777777777634,0.6890756302521008,0.700279421147769,1016.2578310510838,1
83,27.235333333333074,1,27.235333333333074,0.6974789915966386,0.7075447680122917,1016.2578310510838,1
84,12.012333333333117,4,3.0030833333332794,0.7058823529411765,0.7120570944865646,1872.1443697238763,1
85,61.10233333333326,7,8.728904761904753,0.7142857142857143,0.7140511401411779,1872.1443697238763,1
86,93.92733333333308,9,10.436370370370343,0.7226890756302521,0.7241659507854181,973.7605992102929,1
87,27.277333333332535,1,27.277333333332535,0.7310924369747899,0.7397108716513838,1872.1443697238763,1
88,60.811333333333096,2,30.405666666666548,0.7394957983193278,0.7442301460199235,973.7605992102929,1
89,39.70633333333353,4,9.926583333333383,0.7478991596638656,0.754296817682457,973.7605992102929,1
90,31.11433333333298,2,15.55716666666649,0.7563025210084033,0.7608721724758507,973.7605992102929,1
91,23.27333333333263,4,5.8183333333331575,0.7647058823529411,0.7660261866134921,1872.1443697238763,1
92,60.18533333333289,13,4.629641025640992,0.773109243697479,0.7698830950619164,1872.1443697238763,1
95,111.6943333333329,6,18.61572222222215,0.7983193277310925,0.8052506891235843,1066.8362721288077,1
96,68.98633333333328,5,13.797266666666655,0.8067226890756303,0.8237347346905217,1872.1443697238763,1
99,22.23133333333317,3,7.41044444444439,0.8319327731092437,0.8558801600728668,1066.8362721288077,1
100,30.947333333333518,7,4.421047619047646,0.8403361344537815,0.8595646945730493,1525.0097768714681,1
101,70.07033333333311,14,5.005023809523793,0.8487394957983193,0.8646910825596771,1066.8362721288077,1
102,82.29033333333246,3,27.43011111111082,0.8571428571428571,0.8762894340559639,1525.0097768714681,1
103,54.80433333333349,1,54.80433333333349,0.865546218487395,0.8899092919318239,1525.0097768714681,1
104,14.556333333332987,5,2.9112666666665974,0.8739495798319328,0.8989822492881303,1525.0097768714681,1
105,57.14033333333282,6,9.523388888888803,0.8823529411764706,0.9013971388240557,1525.0097768714681,1
106,50.092333333333045,2,25.046166666666522,0.8907563025210085,0.9108565314424473,1525.0097768714681,1
109,64.77333333333263,4,16.193333333333157,0.9159663865546218,0.9268292440839921,1525.0097768714681,1
110,36.32833333333292,4,9.08208333333323,0.9243697478991597,0.937551333772374,1525.0097768714681,1
111,24.14833333333354,1,24.14833333333354,0.9327731092436975,0.9435678793554405,1525.0097768714681,1
112,31.407333333332645,4,7.851833333333161,0.9411764705882353,0.9475695356010929,1525.0097768714681,1
113,37.03633333333346,3,12.345444444444487,0.9495798319327731,0.952772019572549,1525.0097768714681,1
114,52.46933333333254,7,7.495619047618935,0.957983193277311,0.9589056868018296,1525.0097768714681,1
115,40.248333333332994,3,13.416111111110999,0.9663865546218487,0.9675923743221047,1148.5187456484189,1
116,54.51333333333332,1,54.51333333333332,0.9747899159663865,0.9742573900367526,1525.0097768714681,1
117,28.862333333332572,5,5.7724666666665145,0.9831932773109243,0.9832822084113524,1525.0097768714681,1
118,72.11333333333369,1,72.11333333333369,0.9915966386554622,0.9880636830754422,1525.0097768714681,1
